clip_filename,source,start_sec,selected_variant,reason,orig_total_score,tuned_total_score,delta_total_score,orig_clarity,tuned_clarity,delta_clarity,orig_rms_dbfs,tuned_rms_dbfs,orig_peak_dbfs,tuned_peak_dbfs,orig_silence_pct,tuned_silence_pct,orig_hiss_ratio,tuned_hiss_ratio,orig_presence_ratio,tuned_presence_ratio,orig_flatness,tuned_flatness,orig_harmonicity,tuned_harmonicity,orig_centroid_hz,tuned_centroid_hz,clipped_pct_orig,clipped_pct_tuned,eq_presence_db,eq_hiss_db,eq_tilt_db,deesser_db_reduction,denoise_db_reduction,continuity_gain_db
jarvis_1_001_0000000_0006000.wav,JARVIS_1,0.0,tuned,improved_and_safe,104.44917065164245,105.50907287410277,1.0599022224603232,106.97968178034014,107.42408899789348,0.44440721755333357,-23.19786928275121,-23.177377339093606,-4.9033430198748205,-5.631208608307851,8.898305084745763,9.745762711864407,0.08414723398528552,0.07852761404940581,0.2118244618177414,0.205729678273201,0.03783495588982638,0.031600408248568815,0.43941947943828963,0.452116828511242,2384.932323087838,2305.996320977811,0.0,0.0,-0.32352447509765625,-0.6246110564350784,-0.03429201521675673,0.6418758034706116,7.64815092086792,0.5119926203551941
jarvis_1_002_0012000_0018000.wav,JARVIS_1,12.0,tuned,improved_and_safe,96.63527726638898,99.23615581040833,2.600878544019352,107.78386865664227,107.9561651501434,0.17229649350113618,-23.155548558631356,-23.384197010904494,-6.102628302652184,-6.820942704196256,6.722689075630252,7.563025210084033,0.14865753001699653,0.1319791217998482,0.21425040066242218,0.21219691634178162,0.05310754426346736,0.04463992433794264,0.4623962473326363,0.46731900428981177,2950.4228297283157,2805.465126498109,0.0,0.0,-0.4690808057785034,-2.5599199373864088,-0.662614800372843,0.6283931732177734,9.020986557006836,0.6469341470839503
jarvis_1_003_0021000_0027000.wav,JARVIS_1,21.0,tuned,improved_and_safe,101.89721193028413,103.8546525580927,1.957440627808566,107.57025120037352,108.26730795258877,0.6970567522152464,-23.132226695155982,-23.433104505602643,-7.628645785653787,-7.924835548684922,4.366812227074235,4.8034934497816595,0.10387288458420055,0.09505281346103209,0.20930215716362,0.209471195936203,0.03862341937894333,0.028144702394861408,0.45629289143924334,0.47620879864539334,2691.58764750725,2627.554335681531,0.0,0.0,-0.17218619585037231,-1.2163805744025293,-0.3750201534605478,0.9960770606994629,11.231871604919434,0.8159829500380278
jarvis_1_005_0039000_0045000.wav,JARVIS_1,39.0,tuned,improved_and_safe,104.24633690836912,105.22747563965399,0.9811387312848723,108.71376047722839,108.35055760538158,-0.3632028718468092,-23.399900951594116,-23.16709853070169,-4.683330449320147,-5.100986126893875,5.982905982905983,6.41025641025641,0.08212312653857967,0.07649342319944928,0.18602612614631653,0.19091126322746277,0.034821455591855066,0.02403703198829768,0.48896458506366813,0.47858736015375947,2385.5504481593516,2359.0456780970476,0.0,0.0,1.2243756651878357,-0.563887833033903,-0.034978820851771765,0.7153748273849487,12.058515548706055,0.7501268095233334
jarvis_1_006_0048000_0054000.wav,JARVIS_1,48.0,original,kept_original_silence_increase,103.147070644492,95.9652736494281,-7.181796995063905,109.70775734408124,101.07656441663507,-8.631192927446179,-23.17648926894421,-23.058913574760563,-3.977012657303412,-4.38518827663234,8.75,16.666666666666664,0.0899959921290956,0.08687230150371174,0.16497451066970825,0.17326897382736206,0.03550908771304237,0.027201890895857332,0.5173644955451786,0.5107589833324301,2354.069509392757,2372.5603534705538,0.0,0.0,1.9,-0.8000738007493811,-0.0,0.5705947875976562,12.015464782714844,0.634479939644584
jarvis_1_010_0090000_0096000.wav,JARVIS_1,90.0,tuned,improved_and_safe,101.55579795802855,102.60962247456281,1.053824516534263,105.74820854512666,105.9390045161257,0.19079597099904788,-23.104782491604965,-23.095113104715118,-4.1368568198139775,-4.968099108152929,7.725321888412018,7.725321888412018,0.05682254437978562,0.05640571955003486,0.25217390060424805,0.24297089874744415,0.022428095114918868,0.0232586456931769,0.4042345298607618,0.4096858433178772,2401.3651509909632,2362.0445770428287,0.0,0.0,-1.4,0.1951296317299185,-0.05255071288689578,0.449355810880661,0.0,0.5929739811072224
jarvis_1_012_0114000_0120000.wav,JARVIS_1,114.0,tuned,improved_and_safe,104.81035096252425,104.93228084219585,0.12192987967159752,109.94828123368423,109.64024263979385,-0.30803859389037314,-23.189231304575454,-22.946785551318243,-6.013181057650916,-6.542077640868904,6.694560669456067,6.694560669456067,0.07452439870743287,0.07147335498744316,0.1971823275089264,0.19906672835350037,0.03383663430157091,0.035784143231189974,0.5242366066766924,0.5154355039941102,2435.2778886916985,2409.478409035498,0.0,0.0,0.5550035834312439,-0.33592599809949886,-0.09023153255437945,0.5844393968582153,0.0,0.47055455181286826
jarvis_1_013_0129000_0135000.wav,JARVIS_1,129.0,original,kept_original_score_not_improved,106.35960180685423,106.27610677138873,-0.08349503546550352,108.92753706888811,108.86608442794713,-0.06145264094098479,-23.330163081507138,-23.25677857022776,-3.891954302545673,-4.848975067464956,4.8034934497816595,4.8034934497816595,0.0629483375104928,0.06293316851054856,0.20094482600688934,0.2054990530014038,0.029491471745419225,0.0310499525320144,0.49507248768251766,0.49331669794134675,2364.448328389894,2378.414749974622,0.0,0.0,0.3292536735534668,0.011355837808703362,-0.011532021107929924,0.4841024875640869,0.0,0.46129529749009107
jarvis_1_014_0138000_0144000.wav,JARVIS_1,138.0,tuned,improved_and_safe,104.3260697206679,105.0315818648943,0.7055121442264038,107.59866212664708,107.74835186929619,0.14968974264910173,-23.258252724824786,-23.13973337894531,-4.871702094791229,-5.501764310980595,0.43668122270742354,0.43668122270742354,0.07554455593814971,0.06923415729793496,0.1934424191713333,0.1955687701702118,0.027791219417529624,0.02856768147533631,0.4571046321899166,0.4613814819798909,2629.871422520472,2548.532884064673,0.0,0.0,0.7793980836868286,-0.3665307150210041,-0.3064465701419057,1.272575855255127,0.0,0.4250133905298775
jarvis_1_015_0147000_0153000.wav,JARVIS_1,147.0,tuned,improved_and_safe,101.41589567387445,102.96830055522959,1.5524048813551445,110.39015227824532,110.28613907860925,-0.10401319963607136,-25.365149312474582,-24.345093881818837,-7.679191785274366,-6.594659357036762,0.0,0.0,0.045838670832208175,0.04823117195072897,0.16084739565849304,0.17597238719463348,0.022202559517969928,0.02423349103185495,0.5368614936641523,0.5338896879602645,1962.7709928272488,2071.2238765812667,0.0,0.0,1.9,0.5246458381572419,0.4347761295172313,0.392209529876709,0.0,1.0980739014150953
jarvis_1_016_0156000_0162000.wav,JARVIS_1,156.0,tuned,improved_and_safe,103.57191918216787,103.96712813700371,0.3952089548358373,109.19556531998144,108.89451035190794,-0.3010549680735011,-25.139769438380995,-23.7583734719364,-6.161697949795267,-5.716507565620673,4.583333333333333,4.583333333333333,0.06749067181037939,0.06732835128278701,0.1572655588388443,0.16797593235969543,0.029020493060497796,0.031658399642204856,0.5027304377137554,0.4941288671973697,2174.2146376223573,2222.8362247271752,0.0,0.0,1.9,-0.12491419118789454,0.1998387464115553,0.5722933411598206,0.0,1.42105512780498
jarvis_1_017_0168000_0174000.wav,JARVIS_1,168.0,original,kept_original_harmonicity_drop,104.53647816056039,105.29371384470191,0.75723568414152,107.93877172186126,107.28742271381242,-0.6513490080488396,-24.033643233791686,-23.063923700904475,-3.7520156010768217,-4.1851020183073695,8.641975308641975,8.641975308641975,0.06332686543744957,0.06573013047429274,0.1689281314611435,0.18291495740413666,0.029077536540460653,0.03125373410919148,0.46682204919603604,0.44821207753749776,2227.5551612669606,2325.177583639945,0.0,0.0,1.9,-0.0,0.14057149791755164,0.3733794093132019,0.0,1.261703033636302
jarvis_1_018_0177000_0183000.wav,JARVIS_1,177.0,tuned,improved_and_safe,105.26566128334674,106.41773106517883,1.1520697818320826,106.63153482115986,107.03913230131738,0.40759748015751995,-23.403761541211857,-23.027797362278058,-5.076129632940977,-5.08093726732,7.949790794979079,7.949790794979079,0.06332673718023897,0.06362244372928899,0.2068946808576584,0.21111120283603668,0.03615800851040893,0.02806324858948324,0.4294724234617104,0.44111806575192497,2363.512504385607,2400.9748867361777,0.0,0.0,-0.02773761749267578,3.847716318061689e-06,-0.0104922166587221,0.555030345916748,9.784443855285645,1.1195752150789184
jarvis_1_020_0198000_0204000.wav,JARVIS_1,198.0,original,kept_original_score_not_improved,102.14325928322674,101.73596389798489,-0.40729538524185216,105.14822515549992,104.96153774230571,-0.1866874131942069,-23.19419665440187,-22.78408552313018,-4.780222198753126,-5.619288731436482,6.995884773662551,6.995884773662551,0.06744988725580102,0.06659371080153541,0.21165551245212555,0.21038901805877686,0.026846185297577714,0.029672782520027908,0.38709214729999764,0.3817582212087345,2229.841585216763,2229.470959242922,0.0,0.0,-0.31338751316070557,-0.1236906545505434,0.13803102686221538,0.4187637269496918,0.0,0.9029373675659509
jarvis_1_021_0207000_0213000.wav,JARVIS_1,207.0,tuned,improved_and_safe,100.41505172241047,101.83122331378227,1.416171591371807,105.70793702386098,105.70051429462184,-0.007422729239138448,-23.167127045784504,-23.137122679139996,-6.581174385265966,-6.935743051648998,6.751054852320674,8.438818565400844,0.08476299985881496,0.07772231051902333,0.24191375076770782,0.22866809368133545,0.03125142828005769,0.023600407040536252,0.4030839149674563,0.40287183698919526,2592.564533974408,2467.4469638528335,0.0,0.0,-1.4,-0.6430840326409615,-0.26499447175738977,0.9964537620544434,10.64206314086914,0.8900320833811912
jarvis_1_023_0231000_0237000.wav,JARVIS_1,231.0,tuned,improved_and_safe,99.55240501044474,100.62122296981956,1.0688179593748117,104.82406568584771,105.576013584316,0.7519478984682877,-23.14763836185631,-23.297434075898963,-6.002064641933674,-6.450024886152514,4.489795918367347,5.714285714285714,0.09969812009140311,0.09726958145353906,0.21663613617420197,0.2146271914243698,0.028612901863346342,0.02089623124868342,0.3778304481670776,0.39931467383760016,2549.9692385858266,2533.7968300334605,0.0,0.0,-0.6122249364852905,-1.091137639618606,-0.21766636577007728,0.8849117159843445,9.568509101867676,0.9785321524917838
jarvis_1_024_0243000_0249000.wav,JARVIS_1,243.0,tuned,improved_and_safe,102.68433400851448,103.3082370084201,0.62390299990561,106.83054507577415,107.12859138012561,0.29804630435145896,-23.21074968952336,-22.944574703210723,-4.293177339424144,-5.072991010142864,7.860262008733625,7.860262008733625,0.035473188589274965,0.0372592881667998,0.23022955656051636,0.22398068010807037,0.026413307695040314,0.028084198276862957,0.43515843073640426,0.4436740394321605,2034.533612413277,2036.0235985481097,0.0,0.0,-1.4,0.6,0.3550398855327555,0.3535292148590088,0.0,0.8431408230842565
jarvis_1_025_0255000_0261000.wav,JARVIS_1,255.0,tuned,improved_and_safe,100.38906191458872,101.19438920597463,0.8053272913859075,107.56784757425876,108.08358483378987,0.5157372595311074,-23.132396836136092,-22.9527698090371,-3.8418937840551632,-5.451295774419238,4.641350210970464,4.641350210970464,0.02710219134767245,0.02778857925634533,0.2761506140232086,0.2651711106300354,0.019229870627541674,0.023466475369231292,0.4562242164073931,0.4709595666797106,2139.4083696788643,2112.2812831197784,0.0,0.0,-1.4,0.6,0.23851237745988074,0.6146464347839355,0.0,0.7418923318399295
