clip_filename,source,start_sec,selected,reason,orig_score,polish_score,delta_score,orig_clarity,polish_clarity,delta_clarity,orig_rms_dbfs,polish_rms_dbfs,orig_peak_dbfs,polish_peak_dbfs,orig_silence_pct,polish_silence_pct,orig_hiss_ratio,polish_hiss_ratio,orig_presence_ratio,polish_presence_ratio,orig_flatness,polish_flatness,orig_harmonicity,polish_harmonicity,orig_centroid_hz,polish_centroid_hz,orig_clipped_pct,polish_clipped_pct,presence_db,hiss_db,tilt_db,deesser_db,denoise_db,continuity_gain_db
jarvis_1_001_0000000_0006000.wav,JARVIS_1,0.0,input,kept_input_not_better,105.57936472287565,105.4669990890999,-0.11236563377575237,107.42339903978043,107.46141103693763,0.03801199715719861,-23.178829828099264,-23.332684676835772,-5.6318234478811915,-6.438536471010384,9.745762711864407,10.16949152542373,0.07852672381489291,0.07669452373243822,0.2057022750377655,0.20586973428726196,0.03825981861047831,0.03886505609819681,0.4520971154222981,0.4531831724839323,2307.5352332015345,2288.2509717392045,0.0,0.0,0.0006331503391265869,-0.2383881974096953,0.0,0.3559635579586029,0.0,0.14798187299694376
jarvis_1_002_0012000_0018000.wav,JARVIS_1,12.0,polished,polished_safe_improvement,99.07217436437121,99.957021978642,0.8848476142707966,107.95613123589062,108.04569622325468,0.08956498736405649,-23.385705803657707,-23.715355838904504,-6.821405384195566,-7.598120790239081,7.563025210084033,8.403361344537815,0.13196491391392304,0.12618437242742372,0.21218052506446838,0.21234357357025146,0.05295061629032991,0.049418290748529214,0.4673180353111605,0.46987703495013355,2806.918389811586,2760.941288741459,0.0,0.0,-0.22610560059547424,-1.0933992389941773,-0.2774350870055842,0.33227238059043884,5.17927360534668,0.2664876785625301
jarvis_1_003_0021000_0027000.wav,JARVIS_1,21.0,polished,polished_safe_improvement,103.6418603370264,104.88673124412438,1.244870907097976,108.26724645753923,108.86497751856041,0.5977310610211788,-23.434651795654432,-23.687426294205846,-7.925201057949398,-8.255881552315362,4.8034934497816595,5.240174672489083,0.09504884840941633,0.08929615515831939,0.20944111049175262,0.2092340886592865,0.03550159919008038,0.02998658391370923,0.476207041643978,0.49328507195886895,2629.25275271017,2581.8789978409477,0.0,0.0,-0.13022609055042267,-0.50274219092207,-0.17873195528257535,0.5954508781433105,5.511785507202148,0.37912826902199886
jarvis_1_005_0039000_0045000.wav,JARVIS_1,39.0,polished,polished_safe_improvement,105.58170568857506,105.86745046201915,0.2857447734440939,108.34935946725821,108.27113600573819,-0.07822346152002524,-23.168447750852902,-23.123758856266825,-5.101368947326504,-5.721445056972629,6.41025641025641,6.41025641025641,0.07649272657194621,0.07385238797012088,0.19088080525398254,0.1942892074584961,0.03158826025962294,0.03203576933538852,0.47855312763594876,0.47631817159251943,2360.899316550035,2344.700258897337,0.0,0.0,0.5193845927715302,-0.2058442415225481,-0.029646712971389207,0.45412611961364746,0.0,0.2967358277642852
jarvis_1_006_0048000_0054000.wav,JARVIS_1,48.0,polished,polished_safe_improvement,103.52136776475132,103.56708569544928,0.04571793069796115,109.70775734408124,109.52540658620461,-0.1823507578766339,-23.17648926894421,-23.123606905177038,-3.977012657303412,-4.796988460794562,8.75,9.583333333333334,0.0899959921290956,0.0872609374864549,0.16497451066970825,0.17068934440612793,0.03550908771304237,0.03810589754896993,0.5173644955451786,0.5121544738915601,2354.069509392757,2353.171085108971,0.0,0.0,1.1,-0.42189649043693844,-0.025852375661790272,0.36117181181907654,0.0,0.22449802807691804
jarvis_1_010_0090000_0096000.wav,JARVIS_1,90.0,polished,polished_safe_improvement,102.04079502217832,102.8905131593433,0.8497181371649845,105.9382596778427,106.11702983360699,0.17877015576429756,-23.096594033754066,-23.320289394545437,-4.968381633323665,-5.8153931618305545,7.725321888412018,8.15450643776824,0.05641766004151502,0.05621600795804315,0.24294908344745636,0.23747214674949646,0.0263557521268458,0.02732268749756815,0.40966456222407677,0.41477228096019975,2363.2787737390745,2340.214380661833,0.0,0.0,-0.9,0.1153568229643509,-0.03096863363196664,0.3553900420665741,0.0,0.22377082914580373
jarvis_1_012_0114000_0120000.wav,JARVIS_1,114.0,input,kept_input_not_better,105.21698569041797,105.19901257050985,-0.01797311990812034,109.63999165117356,109.61524607438226,-0.024745576791303847,-22.94820159535105,-23.05025627743781,-6.542806095295825,-7.2310985516334645,6.694560669456067,6.694560669456067,0.07146998596723136,0.07008303000479028,0.19904616475105286,0.20046238601207733,0.03905413909542241,0.040460432675502436,0.515428332890673,0.5147213164109216,2410.5483498401586,2402.9419415810694,0.0,0.0,0.2335970103740692,-0.12548039184711057,-0.05722950924368004,0.32344716787338257,0.0,0.14298331128060543
jarvis_1_013_0129000_0135000.wav,JARVIS_1,129.0,input,kept_input_not_better,106.87672709430129,106.82652030905135,-0.05020678524994082,108.92753706888811,108.92069293376639,-0.006844135121724548,-23.330163081507138,-23.543027300983827,-3.891954302545673,-5.06159472059296,4.8034934497816595,4.8034934497816595,0.0629483375104928,0.06296249744476022,0.20094482600688934,0.2044156938791275,0.029491471745419225,0.030864166206049794,0.49507248768251766,0.4948769409647538,2364.448328389894,2376.375452123418,0.0,0.0,0.16714386641979218,0.010865983460706552,-0.03161838621575523,0.4104230999946594,0.0,0.17502587452894408
jarvis_1_014_0138000_0144000.wav,JARVIS_1,138.0,polished,polished_safe_improvement,104.9978754726789,105.39514040813373,0.3972649354548281,107.74822392174784,108.00329268148397,0.2550687597361332,-23.141200425167405,-23.283947601399024,-5.502507597369312,-6.162070506071776,0.43668122270742354,0.43668122270742354,0.06924365645959746,0.06621295519938097,0.19554503262043,0.1973164677619934,0.03162600720532456,0.03203678890785192,0.4613778263356526,0.4686655051852564,2549.6946194448765,2509.5756189932786,0.0,0.0,0.35613663494586945,-0.08985911972496807,-0.1345329923574122,0.7898379564285278,0.0,0.1535323305145647
jarvis_1_015_0147000_0153000.wav,JARVIS_1,147.0,polished,polished_safe_improvement,103.97179677964857,104.93064535827583,0.9588485786272543,110.2958872634187,110.06097524512768,-0.23491201829102692,-24.34686084587743,-24.107521505982508,-6.595323092805713,-6.747621329915049,0.0,0.0,0.04825685865880999,0.04926660067230469,0.17595303058624268,0.1847332864999771,0.026358700571905723,0.028099723972745478,0.5341682075262489,0.5274564355750765,2072.8689441884203,2127.516739708227,0.0,0.0,1.0418567061424255,0.24592964508763138,0.13037016056284123,0.3167387843132019,0.0,0.3886720383620139
