rank,clip_filename,duration_sec,silence_pct,hiss_ratio,harmonicity,quality_score,source_path
25,jarvis_ref_vm_022_0057350_0061140.wav,3.790000,16.000000,0.020411,0.660801,0.805933,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_022_0057350_0061140.wav
26,jarvis_ref_vm_023_0394140_0395480.wav,1.340000,17.307692,0.005295,0.851744,0.797930,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_023_0394140_0395480.wav
27,jarvis_ref_vm_024_0376280_0383280.wav,7.000000,9.677419,0.032918,0.550382,0.797473,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_024_0376280_0383280.wav
28,jarvis_ref_vm_025_0221550_0223590.wav,2.040000,6.250000,0.061349,0.657562,0.796136,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_025_0221550_0223590.wav
29,jarvis_ref_vm_026_0324290_0325820.wav,1.530000,3.333333,0.016159,0.469667,0.793092,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_026_0324290_0325820.wav
30,jarvis_ref_vm_027_0022350_0024830.wav,2.480000,17.346939,0.014306,0.758200,0.791993,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_027_0022350_0024830.wav
31,jarvis_ref_vm_028_0204190_0209320.wav,5.130000,17.647059,0.030089,0.637468,0.782879,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_028_0204190_0209320.wav
32,jarvis_ref_vm_029_0008560_0010730.wav,2.170000,15.294118,0.030010,0.717165,0.776813,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_029_0008560_0010730.wav
33,jarvis_ref_vm_030_0068660_0073500.wav,4.840000,17.708333,0.038426,0.659411,0.766175,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_030_0068660_0073500.wav
34,jarvis_ref_vm_031_0049080_0051460.wav,2.380000,14.893617,0.040549,0.751705,0.762185,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_031_0049080_0051460.wav
35,jarvis_ref_vm_032_0234100_0236080.wav,1.980000,17.948718,0.029935,0.779930,0.751087,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_032_0234100_0236080.wav
36,jarvis_ref_vm_033_0062760_0066670.wav,3.910000,13.548387,0.066043,0.771431,0.740835,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_033_0062760_0066670.wav
37,jarvis_ref_vm_034_0088280_0090440.wav,2.160000,16.470588,0.044769,0.630388,0.737525,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_034_0088280_0090440.wav
38,jarvis_ref_vm_035_0462200_0464010.wav,1.810000,16.901408,0.049615,0.635826,0.720612,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_035_0462200_0464010.wav
39,jarvis_ref_vm_039_0012960_0015520.wav,2.560000,15.841584,0.157191,0.794589,0.529535,/Users/dankerbadge/Documents/J.A.R.V.I.S/analysis/jarvis_study/reference_online/reference_pack/clips/jarvis_ref_vm_039_0012960_0015520.wav
