clip_filename,source,start_sec,duration_sec,selected,reason,score_delta,clarity_delta,silence_pct,hiss_ratio,harmonicity,actor_match_score,movie_match_score
jarvis_ref_vm_027_0022350_0024830.wav,JARVIS_REF,22.350,2.480000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.791993,17.346939,0.014306,0.758200,,
jarvis_ref_vm_028_0204190_0209320.wav,JARVIS_REF,204.190,5.130000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.782878,17.647059,0.030089,0.637468,,
jarvis_ref_vm_029_0008560_0010730.wav,JARVIS_REF,8.560,2.170000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.776812,15.294118,0.030010,0.717165,,
jarvis_ref_vm_030_0068660_0073500.wav,JARVIS_REF,68.660,4.840000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.766176,17.708333,0.038426,0.659411,,
jarvis_ref_vm_031_0049080_0051460.wav,JARVIS_REF,49.080,2.380000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.762185,14.893617,0.040549,0.751705,,
jarvis_ref_vm_032_0234100_0236080.wav,JARVIS_REF,234.100,1.980000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.751087,17.948718,0.029935,0.779930,,
jarvis_ref_vm_033_0062760_0066670.wav,JARVIS_REF,62.760,3.910000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.740836,13.548387,0.066043,0.771431,,
jarvis_ref_vm_034_0088280_0090440.wav,JARVIS_REF,88.280,2.160000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.737524,16.470588,0.044769,0.630388,,
jarvis_ref_vm_035_0462200_0464010.wav,JARVIS_REF,462.200,1.810000,reference,voicemod_reference_KUxTstoFd1Q_MCU： All J.A.R.V.I.S. Lines (Reupload),0.000000,0.720612,16.901408,0.049615,0.635826,,
jarvis_ref_vm_036_0004850_0006240.wav,JARVIS_REF,4.850,1.390000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.894793,5.555556,0.010161,0.697086,,
jarvis_ref_vm_037_0010100_0012480.wav,JARVIS_REF,10.100,2.380000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.847714,11.702128,0.011230,0.638492,,
jarvis_ref_vm_038_0006550_0009690.wav,JARVIS_REF,6.550,3.140000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.814660,16.129032,0.008222,0.610623,,
jarvis_ref_vm_039_0012960_0015520.wav,JARVIS_REF,12.960,2.560000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.529534,15.841584,0.157191,0.794589,,
