clip_filename,source,start_sec,duration_sec,selected,reason,score_delta,clarity_delta,silence_pct,hiss_ratio,harmonicity,actor_match_score,movie_match_score
jarvis_ref_vm_001_0010100_0011900.wav,JARVIS_REF,10.100,1.800000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.902290,5.633803,0.008132,0.716054,,
jarvis_ref_vm_002_0007750_0009550.wav,JARVIS_REF,7.750,1.800000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.893742,7.042254,0.006001,0.690862,,
jarvis_ref_vm_003_0004850_0006240.wav,JARVIS_REF,4.850,1.390000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.892792,5.555556,0.011193,0.706394,,
jarvis_ref_vm_004_0006550_0008350.wav,JARVIS_REF,6.550,1.800000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.772211,21.126761,0.008536,0.679813,,
jarvis_ref_vm_005_0011300_0012470.wav,JARVIS_REF,11.300,1.170000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.769275,15.555556,0.019677,0.600068,,
jarvis_ref_vm_006_0012960_0014760.wav,JARVIS_REF,12.960,1.800000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.563477,14.084507,0.143748,0.814664,,
jarvis_ref_vm_007_0014160_0015520.wav,JARVIS_REF,14.160,1.360000,reference,voicemod_reference_zZ0tYNEv0cQ_JARVIS START UP,0.000000,0.501684,18.867925,0.151056,0.794950,,
