clip_filename,source,duration_sec,post_rms_dbfs,silence_pct,hiss_ratio_8k_16k_to_80_4k,presence_ratio_2k_5k,spectral_flatness,harmonicity_ac_peak,clarity_score,rank
jarvis_1_015_0147000_0153000.wav,JARVIS_1,5.926916666666667,-25.365149312474582,0.0,0.045838670832208175,0.16084739565849304,0.022202559517969928,0.5368614936641523,110.39015227824532,1
jarvis_1_006_0048000_0054000.wav,JARVIS_1,6.0454375,-23.17648926894421,8.75,0.0899959921290956,0.16497451066970825,0.03550908771304237,0.5173644955451786,109.70775734408124,2
jarvis_1_034_0351000_0357000.wav,JARVIS_1,6.0771875,-25.02475177516655,2.479338842975207,0.0039822749220531336,0.20572036504745483,0.01015573398471114,0.5147092142257921,109.61482249790272,3
jarvis_1_016_0156000_0162000.wav,JARVIS_1,6.041541666666666,-25.139769438380995,4.583333333333333,0.06749067181037939,0.1572655588388443,0.029020493060497796,0.5027304377137554,109.19556531998144,4
jarvis_1_043_0450000_0456000.wav,JARVIS_1,6.118375,-23.325150371585348,8.641975308641975,0.09304032354863342,0.16582073271274567,0.032330889484781584,0.5020556200219375,109.17194670076782,5
jarvis_1_012_0114000_0120000.wav,JARVIS_1,6.008604166666666,-23.185793805239044,3.765690376569038,0.08028594612667186,0.19063548743724823,0.034614195122366215,0.4861329213930077,108.61465224875526,6
jarvis_1_005_0039000_0045000.wav,JARVIS_1,5.9013333333333335,-23.137031893184673,3.829787234042553,0.08624321795580742,0.18186821043491364,0.0389282719400628,0.4745567587109343,108.2094865548827,7
jarvis_1_042_0441000_0447000.wav,JARVIS_1,5.7938125,-22.998485038524397,11.73913043478261,0.020013664827580734,0.16977599263191223,0.01962579089333779,0.4660112924335167,107.91039523517308,8
jarvis_1_013_0129000_0135000.wav,JARVIS_1,5.76,-23.139585034815834,4.8034934497816595,0.057505776439913864,0.18239054083824158,0.026677219597474797,0.46228008841159773,107.77980309440592,9
jarvis_1_044_0462000_0468000.wav,JARVIS_1,6.014125,-23.39856457627682,4.602510460251046,0.10187651380807577,0.15872372686862946,0.03300328750027644,0.46149141167505686,107.75219940862699,10
jarvis_1_025_0255000_0261000.wav,JARVIS_1,5.950208333333333,-23.132396836136092,4.641350210970464,0.02710219134767245,0.2761506140232086,0.019229870627541674,0.4562242164073931,107.56784757425876,11
